BlockId,Replicate,mqcClass,mqcConfidence,MedianExcess,NumExcess,ExcessHSA,ExcessCRX,LS3x3,Beta,Gamma,DBSumPos,DBSumNeg
1,1,null,null,15.31362,31.0,162.93558,79529.90914,-7.46464,5.44375,1.09141,9.09385,-0.0787
2,1,null,null,24.49805,35.0,149.53144,123969.80117,-7.6109,3.14844,1.09727,10.99973,-0.10861
3,1,null,null,27.14264,55.0,-302.31458,129869.88993,-14.91461,2.45938,0.79463,7.77767,-0.36231
4,1,null,null,21.03616,22.0,286.15635,113847.01343,-4.65048,3.59844,1.10791,11.80862,-0.04501
5,1,null,null,23.7151,21.0,303.41558,83347.97066,-4.87851,3.37813,1.13848,9.04109,-0.03064
6,1,null,null,39.12917,45.0,-242.9696,154576.04223,-23.81656,1.33652,0.74912,7.31751,-1.01756
7,1,null,null,66.95189,36.0,3.89044,178493.3014,-8.81074,0.95405,0.90557,6.42571,-2.068
8,1,null,null,35.5829,41.0,86.03058,184906.27016,-6.95171,0.97295,0.93945,5.96589,-1.36597
9,1,null,null,55.70431,26.0,190.49331,139472.85301,-7.48533,1.0877,0.97817,5.61513,-0.59297
10,1,null,null,56.45491,39.0,12.82804,171258.1085,-7.69488,1.00791,0.95989,4.33649,-1.14226
11,1,null,null,64.39777,42.0,-96.79689,184494.18784,-21.40222,0.86323,0.84409,4.31152,-2.7693
12,1,null,null,58.4158,30.0,32.51098,179147.55877,-21.06087,0.90366,0.88638,4.5484,-1.88887
